COD_BAIRRO;N_BAIRRO;PERIMETER;AREA;HECTARES;X;Y;DENSIDADE;area_km2
24;ERNESTO GEISEL;6650,895993310000449;1905707,361469999887049;190,570736146999991;293606,286199000023771;9206172,868739999830723; ;1,905714171420000
11;BESSA;6362,909869099999923;2040910,036300000036135;204,091003629999989;296419,190790999971796;9218467,459410000592470;0,000000000;2,040910036300000
02;AEROCLUBE;6436,704570920000151;2058471,857510000001639;205,847185751000012;296478,971894000016619;9216243,940489999949932;0,000000000;2,059380232720000
35;JARDIM OCEANIA;7344,368535360000351;2280272,345770000014454;228,027234577000002;297303,595165000006091;9216760,576029999181628;0,000000000;2,278148793800000
38;MANAÍRA;6610,028054999999767;2299794,257470000069588;229,979425746999993;297355,595916000020225;9214281,544299999251962;0,000000000;2,302653584140000
52;TAMBAÚ;3806,019788560000052;846367,491185000049882;84,636749118500006;298274,669905000017025;9213149,596519999206066;0,000000000;0,844725191128000
13;CABO BRANCO;12060,633829000000333;1373200,985779999988154;137,320098578000000;298934,102769999997690;9211293,271190000697970;0,000000000;1,373269418290000
48;PONTA DO SEIXAS;4991,627848379999705;587013,280894999974407;58,701328089500002;301646,888632000016514;9208515,981109999120235; ;0,587022838409000
45;PENHA;3356,754730040000140;388471,371578000020236;38,847137157799999;301467,219328999985009;9207690,701449999585748; ;0,388471371579000
XX;COSTA DO SOL;15506,710010799999509;13210674,256100000813603;1321,067425610000100;300193,459076000028290;9205543,262000000104308; ;13,210684699000000
44;PARATIBE;9053,123634370000218;4348232,666600000113249;434,823266660000002;297941,046127000008710;9203291,366599999368191; ;4,348578653180000
59;VALENTINA;7829,539693650000117;3139557,807020000182092;313,955780702000027;296052,212889000016730;9203960,536149999126792; ;3,139593789490000
47;PLANALTO DA BOA ESPERANÇA;7016,656032300000334;2033394,670110000064597;203,339467011000011;294658,913495999993756;9204194,235719999298453; ;2,031220767790000
21;CUIÁ;6672,313053570000193;1911632,697870000032708;191,163269786999990;294489,796545999997761;9205512,178680000826716; ;1,911562511210000
30;JOÃO PAULO II;8113,678956630000357;2227060,283770000096411;222,706028376999996;292565,923094000027049;9206152,476050000637770; ;2,227043157480000
26;FUNCIONÁRIOS;6028,893543219999628;1733500,035630000056699;173,350003563000001;291692,912214000010863;9205713,533369999378920; ;1,733545124700000
27;GROTÃO;2695,599507710000125;336326,702132000005804;33,632670213200001;292059,085232999990694;9205105,652559999376535; ;0,336326702130000
18;COSTA E SILVA;5874,582811870000114;999339,832901000045240;99,933983290100002;290608,031970000010915;9206004,553829999640584; ;1,002174125280000
23;ERNANI SATIRO;4826,559334190000300;1293980,895740000065416;129,398089574000011;291186,628456000005826;9206987,416990000754595; ;1,291971288290000
22;DISTRITO INDUSTRIAL;12773,158623799999987;7827100,522029999643564;782,710052203000032;289189,222313000005670;9204988,706579999998212; ;7,827146344130000
08;BAIRRO DAS INDUSTRIAS;8964,509830999999394;2770150,294809999875724;277,015029480999999;287837,419157000025734;9205572,923680000007153; ;2,770211112120000
49;PORTAL DO SOL;11272,761814999999842;5365698,974349999800324;536,569897435000030;299853,364459000003990;9209083,070919999852777; ;5,376972875620000
03;ALTIPLANO CABO BRANCO;6446,515788190000421;2170437,939300000201911;217,043793929999993;298085,154006999975536;9210958,007899999618530;24;2,159177391230000
41;MIRAMAR;4916,630702340000425;1334199,287860000040382;133,419928786000014;297309,320711000007577;9212453,584209999069571; ;1,334605392070000
31;JOÃO AGRIPINO;3206,385666589999801;226527,876515999989351;22,652787651600001;296446,600144999974873;9214074,992110000923276; ;0,226527876517000
12;BRISAMAR;3908,424708349999946;581749,955670999945141;58,174995567099998;296896,819447999994736;9213203,811149999499321; ;0,581502208016000
46;PEDRO GONDIM;3439,986908140000196;771786,529411999974400;77,178652941199999;296156,027752000023611;9213192,539109999313951; ;0,771786529232000
07;BAIRRO DOS ESTADOS;6556,885711920000176;1816176,187159999972209;181,617618716000010;295032,990344999998342;9213237,369829999282956; ;1,814825019230000
25;EXPEDICIONÁRIOS;2826,122684699999809;399478,728140000021085;39,947872814000000;295343,769627999980003;9212174,133680000901222; ;0,397389074423000
04;ALTO DO CÉU;6977,764494490000288;2523148,044639999978244;252,314804463999991;293821,774448000011034;9215411,259540000930429; ;2,523148044640000
09;BAIRRO DOS IPÊS;7240,302956440000344;1832089,581229999894276;183,208958123000002;295497,098598000011407;9214463,311300000175834; ;1,832660227020000
51;SÃO JOSÉ;4876,538087509999968;349806,000132000015583;34,980600013199997;296742,249995000020135;9214059,784409999847412; ;0,349654677863000
53;TAMBIÁ;5014,809604830000353;802392,132845000014640;80,239213284499996;293249,205253999971319;9212994,839339999482036; ;0,802386604270000
50;RÓGER;5386,798997990000316;1302708,119620000012219;130,270811962000010;292679,389587000012398;9213649,523169999942183; ;1,301010253870000
17;PADRE ZÉ;2902,125827530000151;462617,600877000018954;46,261760087699997;293471,348531000025105;9214228,020689999684691; ;0,466053453009000
39;MANDACARÚ;6017,594212940000034;1032434,862859999993816;103,243486286000007;294338,946806000021752;9214254,765000000596046; ;1,029018390790000
55;TREZE DE MAIO;3573,953923370000211;782570,304897999973036;78,257030489800002;293965,865515000012238;9213522,167330000549555; ;0,782579732589000
60;VARADOURO;5282,971925140000167;825302,228061000001617;82,530222806099999;291429,185412999999244;9212963,452819999307394; ;0,824378998376000
57;TRINCHEIRAS;4757,406256410000424;915326,258170000044629;91,532625816999996;291708,115616999974009;9211601,659549999982119; ;0,915330647536000
28;ILHA DO BISPO;10988,661705099999381;4814596,618689999915659;481,459661869000001;290366,056642999988981;9210860,672140000388026; ;4,814596618690000
05;ALTO DO MATEUS;7065,366230599999653;2549409,818200000096112;254,940981819999990;288927,332065000024159;9210631,411499999463558; ;2,550328624210000
43;OITIZEIRO;8686,364751560000514;3139716,264870000071824;313,971626486999980;290389,379459000017960;9208481,993079999461770; ;3,138976627500000
37;JARDIM VENEZA;8140,977200559999801;2422139,397590000182390;242,213939758999999;289254,318261999986134;9207756,635029999539256; ;2,421804519430000
16;CIDADE DOS COLIBRIS;4864,845385190000343;1084603,126040000002831;108,460312603999995;295918,463518999982625;9207991,097670000046492; ;1,084604990250000
06;ANATÓLIA;1838,327983019999920;172811,610025000001770;17,281161002499999;296465,846544000029098;9209272,945620000362396; ;0,172811610033000
36;JARDIM SÃO PAULO;2901,206536489999962;384278,384151000005659;38,427838415099998;295933,978622999973595;9209354,964330000802875; ;0,384278384151000
15;CENTRO;6591,696954420000111;1887294,485480000032112;188,729448547999993;292532,784344999992754;9212468,161730000749230; ;1,890056996180000
58;VARJÃO;6422,309449280000081;1538589,250029999995604;153,858925002999996;293147,728630999976303;9209487,860190000385046; ;1,537372441380000
29;JAGUARIBE;6887,948748640000304;2364971,303470000158995;236,497130346999995;292793,265665000013541;9211126,508269999176264; ;2,364971303530000
19;CRISTO REDENTOR;10425,735359000000244;4887661,669519999995828;488,766166951999992;292759,555388999986462;9208130,309909999370575; ;4,888461200270000
20;CRUZ DAS ARMAS;8769,677338830000735;2494298,421329999808222;249,429842132999994;291513,233122000005096;9209888,094650000333786; ;2,494298421360000
42;MUÇUMAGRO;14973,790038999999524;4381997,336590000428259;438,199733659000003;296809,653244999994058;9201087,488220000639558; ;4,381651348010000
34;JARDIM CIDADE UNIVERSITÁRIA;7966,095830039999782;2424566,988820000085980;242,456698882000012;297380,766956000006758;9208652,867629999294877; ;2,424566988840000
10;BANCÁRIOS;7995,953098560000399;2189757,117999999783933;218,975711799999999;297266,702909999992698;9209734,382719999179244;54;2,189757118000000
01;ÁGUA FRIA;6987,544815489999564;1577086,239659999962896;157,708623966000005;295092,353098999999929;9208194,537100000306964; ;1,577096477740000
40;MANGABEIRA;13530,910587899999882;10442616,976099999621511;1044,261697610000056;297507,647516000026371;9206432,278780000284314; ;10,442853360200001
32;JOSÉ AMÉRICO;7385,671705409999959;2557741,221979999914765;255,774122197999986;295271,711621999973431;9206671,263860000297427; ;2,557755169840000
XX;GRAMAME;23402,215079900001001;19521116,443700000643730;1952,111644370000022;293038,126912000006996;9202862,262420000508428; ;19,523391733200000
56;TORRE;6535,685822180000287;2159971,268699999898672;215,997126869999988;294442,568690999993123;9211918,413419999182224; ;2,161654569130000
54;TAMBAUZINHO;5076,903226620000169;1003577,453659999999218;100,357745366000003;296050,146486999990884;9212200,047819999977946; ;1,004507856210000
14;CASTELO BRANCO;8258,434636190000674;3644186,052149999886751;364,418605215000014;296304,795304999977816;9210985,238460000604391;31;3,643246868000000
XX;BARRA DE GRAMAME;17600,377463600001647;8745360,022600000724196;874,536002260000032;0,000000000000000;0,000000000000000; ;8,745462696620001
XX;MUSSURÉ;19561,654821399999491;14918239,232899999246001;1491,823923290000039;0,000000000000000;0,000000000000000; ;14,918501884099999
XX;MUMBABA;19093,846520600000076;13957520,135099999606609;1395,752013510000097;0,000000000000000;0,000000000000000; ;13,957727637600000
